ANIO,VUELTA,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,ANDREA GONZALEZ,CARLOS RABASCALL,DANIEL NOBOA AZIN,ENRIQUE GOMEZ,FRANCESCO TABACCHI,HENRY CUCALON,HENRY KRONFLE KOZHAYA,IVAN SAQUICELA,JIMMY JAIRALA VALLAZZA,JORGE ESCALA,JUAN IVAN CUEVA,LEONIDAS IZA,LUIS FELIPE TILLERIA,LUISA GONZALEZ,PEDRO GRANJA,VICTOR ARAUS,VOTOS VALIDOS,BLANCOS,NULOS,ELECTORES,SUFRAGANTES
2025,1,EC01,AZUAY,21933.0,1507.0,206001,1006.0,1014.0,1518.0,1656.0,1439.0,1237.0,1897.0,938.0,29700.0,1360.0,173148,3331.0,807.0,448492,8775,37454,635167,494721
2025,1,EC02,BOLIVAR,3546.0,287.0,65281,376.0,279.0,440.0,539.0,182.0,212.0,363.0,211.0,23645.0,408.0,37832,619.0,288.0,134508,3997,11345,179381,149850
2025,1,EC03,CANAR,4043.0,273.0,59415,314.0,349.0,490.0,670.0,158.0,320.0,513.0,235.0,16064.0,376.0,45356,800.0,241.0,129617,3235,9984,194783,142836
2025,1,EC04,CARCHI,4064.0,565.0,58084,166.0,338.0,492.0,242.0,114.0,286.0,437.0,230.0,5063.0,454.0,46118,669.0,236.0,117558,2938,8318,150459,128814
2025,1,EC05,COTOPAXI,5820.0,459.0,114512,967.0,614.0,759.0,879.0,292.0,552.0,1944.0,855.0,89280.0,764.0,84358,1333.0,655.0,304043,6370,23151,394410,333564
2025,1,EC06,CHIMBORAZO,7674.0,1257.0,159103,608.0,632.0,1077.0,918.0,521.0,596.0,959.0,587.0,51740.0,1455.0,75087,1988.0,708.0,304910,6207,23596,421768,334713
2025,1,EC07,EL ORO,11086.0,809.0,184192,605.0,766.0,1720.0,2515.0,331.0,1140.0,1391.0,658.0,3986.0,1561.0,206435,2043.0,757.0,419995,8226,28549,552652,456770
2025,1,EC08,ESMERALDAS,4089.0,575.0,123873,419.0,760.0,1574.0,4760.0,368.0,827.0,1356.0,483.0,3625.0,988.0,158960,1079.0,883.0,304619,15859,31417,433155,351895
2025,1,EC09,GUAYAS,58290.0,3407.0,1083469,4014.0,8693.0,8690.0,31972.0,2296.0,19140.0,11173.0,3307.0,19141.0,7434.0,1206486,11974.0,6281.0,2485767,57724,188076,3238444,2731567
2025,1,EC10,IMBABURA,7773.0,671.0,116412,538.0,573.0,1380.0,766.0,403.0,890.0,1287.0,512.0,41952.0,1211.0,126307,1765.0,581.0,303021,6099,23423,395165,332543
